IdBundesland,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,ObjectId,Meldedatum,IdLandkreis,Datenstand,NeuerFall,NeuerTodesfall,Refdatum,NeuGenesen,AnzahlGenesen,IstErkrankungsbeginn,Altersgruppe2
14,Sachsen,SK Dresden,A05-A14,M,6,0,2712506,2021/04/23 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2021/04/23 00:00:00+00,0,6,0,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712775,2021/04/27 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2021/04/27 00:00:00+00,0,1,0,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712814,2020/03/13 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/03/09 00:00:00+00,0,1,1,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712815,2020/03/19 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/03/13 00:00:00+00,0,1,1,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712816,2020/03/19 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/03/15 00:00:00+00,0,1,1,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712817,2020/03/28 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/03/24 00:00:00+00,0,1,1,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712818,2020/04/03 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/04/01 00:00:00+00,0,1,1,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712819,2020/05/18 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/05/16 00:00:00+00,0,1,1,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712820,2020/09/18 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/09/18 00:00:00+00,0,1,0,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712821,2020/10/03 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/10/03 00:00:00+00,0,1,0,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712822,2020/10/22 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/10/20 00:00:00+00,0,1,1,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712823,2020/10/26 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/10/26 00:00:00+00,0,1,0,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712824,2020/10/29 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/10/25 00:00:00+00,0,1,1,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712825,2020/10/30 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/10/30 00:00:00+00,0,1,0,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712826,2020/10/31 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/10/31 00:00:00+00,0,1,0,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,2,0,2712827,2020/11/02 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/11/02 00:00:00+00,0,2,0,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712828,2020/11/03 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/11/03 00:00:00+00,0,1,0,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,2,0,2712829,2020/11/04 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/11/04 00:00:00+00,0,2,0,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712830,2020/11/05 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/11/05 00:00:00+00,0,1,0,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712831,2020/11/06 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/11/04 00:00:00+00,0,1,1,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712832,2020/11/06 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/11/06 00:00:00+00,0,1,0,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712833,2020/11/07 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/11/07 00:00:00+00,0,1,0,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712834,2020/11/10 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/11/05 00:00:00+00,0,1,1,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,3,0,2712835,2020/11/10 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/11/10 00:00:00+00,0,3,0,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712836,2020/11/10 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/11/10 00:00:00+00,0,1,1,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712837,2020/11/12 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/11/10 00:00:00+00,0,1,1,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,2,0,2712838,2020/11/13 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/11/13 00:00:00+00,0,2,0,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712839,2020/11/16 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/11/16 00:00:00+00,0,1,0,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712840,2020/11/17 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/11/13 00:00:00+00,0,1,1,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712841,2020/11/17 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/11/14 00:00:00+00,0,1,1,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,2,0,2712842,2020/11/17 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/11/17 00:00:00+00,0,2,0,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712843,2020/11/18 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/11/17 00:00:00+00,0,1,1,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712844,2020/11/18 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/11/18 00:00:00+00,0,1,0,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712845,2020/11/19 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/11/19 00:00:00+00,0,1,0,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712846,2020/11/21 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/11/18 00:00:00+00,0,1,1,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712847,2020/11/23 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/11/23 00:00:00+00,0,1,0,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712848,2020/11/25 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/11/24 00:00:00+00,0,1,1,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712849,2020/11/26 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/11/26 00:00:00+00,0,1,0,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712850,2020/11/27 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/11/27 00:00:00+00,0,1,0,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712851,2020/12/01 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/12/01 00:00:00+00,0,1,0,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712852,2020/12/01 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/12/25 00:00:00+00,0,1,1,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712853,2020/12/02 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/12/02 00:00:00+00,0,1,1,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712854,2020/12/03 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/12/03 00:00:00+00,0,1,0,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712855,2020/12/04 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/12/04 00:00:00+00,0,1,0,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712856,2020/12/05 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/12/05 00:00:00+00,0,1,0,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712857,2020/12/06 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/12/06 00:00:00+00,0,1,0,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712858,2020/12/07 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/11/27 00:00:00+00,0,1,1,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712859,2020/12/07 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/12/02 00:00:00+00,0,1,1,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712860,2020/12/07 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/12/06 00:00:00+00,0,1,1,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712861,2020/12/07 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/12/07 00:00:00+00,0,1,0,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,2,0,2712862,2020/12/09 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/12/09 00:00:00+00,0,2,0,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712863,2020/12/10 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/12/04 00:00:00+00,0,1,1,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712864,2020/12/10 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/12/08 00:00:00+00,0,1,1,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712865,2020/12/10 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/12/10 00:00:00+00,0,1,0,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712866,2020/12/10 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/12/11 00:00:00+00,0,1,1,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712867,2020/12/11 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/12/07 00:00:00+00,0,1,1,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712868,2020/12/14 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/12/14 00:00:00+00,0,1,0,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712869,2020/12/15 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/12/08 00:00:00+00,0,1,1,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712870,2020/12/15 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/12/11 00:00:00+00,0,1,1,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712871,2020/12/15 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/12/12 00:00:00+00,0,1,1,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,2,0,2712872,2020/12/15 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/12/15 00:00:00+00,0,2,0,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712873,2020/12/16 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/12/16 00:00:00+00,0,1,0,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712874,2020/12/18 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/12/14 00:00:00+00,0,1,1,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,2,0,2712875,2020/12/18 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/12/18 00:00:00+00,0,2,0,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712876,2020/12/19 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/12/18 00:00:00+00,0,1,1,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712877,2020/12/21 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/12/18 00:00:00+00,0,1,1,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,2,0,2712878,2020/12/21 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/12/21 00:00:00+00,0,2,0,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,2,0,2712879,2020/12/22 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/12/22 00:00:00+00,0,2,0,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712880,2020/12/23 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/12/22 00:00:00+00,0,1,1,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712881,2020/12/23 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/12/23 00:00:00+00,0,1,0,Nicht übermittelt
14,Sachsen,SK Dresden,A00-A04,M,1,0,2712882,2020/12/28 00:00:00+00,14612,"01.12.2021, 00:00 Uhr",0,-9,2020/12/19 00:00:00+00,0,1,1,Nicht übermittelt
